,year,make,model,trim,mileage,AWD/FWD,price
117,2015,Ford,Edge,SEL,85091,AWD,16965
118,2015,Ford,Edge,SEL,83996,AWD,16968
119,2015,Ford,Edge,SEL,43109,AWD,19998
120,2015,Ford,Edge,Titanium,59256,FWD,18988
121,2015,Ford,Edge,Titanium,85708,AWD,18900
122,2015,Ford,Edge,SEL,57997,AWD,16995
123,2015,Ford,Edge,SEL,22679,FWD,16995
124,2015,Ford,Edge,SEL,104010,AWD,16995
125,2015,Ford,Edge,SEL,104010,AWD,16995
126,2015,Ford,Edge,SEL,86534,FWD,15995
127,2015,Ford,Edge,SEL,76590,FWD,15995
128,2015,Ford,Edge,Titanium,41369,AWD,22990
129,2015,Ford,Edge,Titanium,41285,AWD,22806
130,2015,Ford,Edge,SEL,39809,AWD,21996
131,2015,Ford,Edge,Sport,34952,AWD,25790
132,2015,Ford,Edge,Titanium,115356,AWD,17702
133,2015,Ford,Edge,Titanium,115356,AWD,17702
134,2015,Ford,Edge,SEL,95362,AWD,15990
135,2015,Ford,Edge,SEL,39542,AWD,20990
136,2015,Ford,Edge,SEL,69467,FWD,16083
137,2015,Ford,Edge,SEL,39540,AWD,19995
138,2015,Ford,Edge,SEL,39940,AWD,19801
139,2015,Ford,Edge,Titanium,47611,FWD,19990
140,2015,Ford,Edge,Sport,85122,AWD,19950
141,2015,Ford,Edge,SEL,57384,FWD,15999
142,2015,Ford,Edge,Titanium,97371,AWD,17900
143,2015,Ford,Edge,SEL,40100,AWD,20200
144,2015,Ford,Edge,Sport,35010,AWD,24995
145,2015,Ford,Edge,SEL,39500,AWD,20950
146,2015,Ford,Edge,SEL,40006,AWD,20930
147,2015,Ford,Edge,Sport,82281,AWD,19886
148,2015,Ford,Edge,Sport,137686,AWD,19988
149,2015,Ford,Edge,SE,47322,AWD,17995
150,2015,Ford,Edge,Sport,35241,FWD,26408
151,2015,Ford,Edge,SEL,40001,FWD,19500
152,2015,Ford,Edge,SEL,40027,AWD,21495
153,2015,Ford,Edge,SEL,90831,AWD,15995
154,2015,Ford,Edge,Titanium,43054,AWD,21883
155,2015,Ford,Edge,SE,57273,FWD,16766
156,2015,Ford,Edge,Sport,52277,AWD,22500
157,2015,Ford,Edge,SEL,52598,AWD,17359
158,2015,Ford,Edge,Titanium,76870,FWD,19218
159,2015,Ford,Edge,SEL,35901,AWD,17399
160,2015,Ford,Edge,SEL,40988,AWD,6975
161,2015,Ford,Edge,Sport,35977,AWD,27199
162,2015,Ford,Edge,Titanium,42679,FWD,23988
163,2015,Ford,Edge,Sport,87763,AWD,20250
164,2015,Ford,Edge,Titanium,94791,AWD,17963
165,2015,Ford,Edge,SEL,40350,AWD,22786
166,2015,Ford,Edge,SEL,43753,AWD,18795
167,2015,Ford,Edge,SEL,41000,FWD,19900
168,2015,Ford,Edge,Titanium,72602,FWD,17990
169,2015,Ford,Edge,Sport,36159,AWD,23987
170,2015,Ford,Edge,SE,57124,FWD,14500
171,2015,Ford,Edge,SEL,30938,AWD,16399
172,2015,Ford,Edge,Titanium,46254,AWD,20495
173,2015,Ford,Edge,SEL,41028,AWD,
174,2015,Ford,Edge,SEL,41005,AWD,19780
175,2015,Ford,Edge,SEL,38243,FWD,16390
176,2015,Ford,Edge,SEL,32466,AWD,16299
177,2015,Ford,Edge,Titanium,78128,AWD,17989
178,2015,Ford,Edge,SEL,43536,FWD,18900
179,2015,Ford,Edge,SE,71223,FWD,15999
180,2015,Ford,Edge,SEL,98835,AWD,18595
181,2015,Ford,Edge,SEL,52010,AWD,18600
182,2015,Ford,Edge,Sport,42546,AWD,25785
183,2015,Ford,Edge,Titanium,47272,FWD,24997
184,2015,Ford,Edge,Sport,39647,AWD,26900
185,2015,Ford,Edge,SEL,56498,FWD,17654
186,2015,Ford,Edge,Titanium,51257,FWD,19200
187,2015,Ford,Edge,SEL,42030,AWD,19991
188,2015,Ford,Edge,SEL,76501,AWD,16589
189,2015,Ford,Edge,Sport,36595,AWD,25296
190,2015,Ford,Edge,Sport,99573,FWD,20495
191,2015,Ford,Edge,SEL,43642,AWD,18995
192,2015,Ford,Edge,SEL,86056,AWD,16500
193,2015,Ford,Edge,Sport,38684,FWD,23495
194,2015,Ford,Edge,Sport,37391,AWD,23990
195,2015,Ford,Edge,SEL,94449,AWD,16599
196,2015,Ford,Edge,Titanium,43603,AWD,22996
197,2015,Ford,Edge,Titanium,43330,AWD,22495
198,2015,Ford,Edge,Titanium,43246,AWD,24991
199,2015,Ford,Edge,SEL,81233,AWD,16500
200,2015,Ford,Edge,Titanium,57254,AWD,
201,2015,Ford,Edge,SE,47886,FWD,
202,2015,Ford,Edge,SEL,31685,AWD,21991
203,2015,Ford,Edge,Titanium,39196,FWD,
204,2015,Ford,Edge,SEL,38239,FWD,18900
205,2015,Ford,Edge,Titanium,Miles,AWD,20881
206,2015,Ford,Edge,Titanium,96681,AWD,19591
207,2015,Ford,Edge,Titanium,48070,AWD,24550
208,2015,Ford,Edge,Sport,58146,AWD,21999
209,2015,Ford,Edge,SEL,46013,AWD,21995
210,2015,Ford,Edge,Sport,40703,AWD,24500
211,2015,Ford,Edge,SEL,76481,AWD,17750
212,2015,Ford,Edge,SEL,50018,FWD,18500
213,2015,Ford,Edge,SEL,85098,AWD,16879
214,2015,Ford,Edge,Titanium,49196,FWD,20198
215,2015,Ford,Edge,SEL,42531,AWD,21995
216,2015,Ford,Edge,Sport,37169,AWD,25000
217,2015,Ford,Edge,SEL,33723,FWD,16744
218,2015,Ford,Edge,Sport,37393,AWD,25447
219,2015,Ford,Edge,SEL,42472,FWD,20491
220,2015,Ford,Edge,SEL,77318,AWD,16700
221,2015,Ford,Edge,Titanium,92274,AWD,18460
222,2015,Ford,Edge,Sport,77676,AWD,20900
223,2015,Ford,Edge,SEL,42146,AWD,20498
224,2015,Ford,Edge,SEL,84568,AWD,
225,2015,Ford,Edge,Titanium,71687,FWD,18588
226,2015,Ford,Edge,SEL,85252,FWD,16757
227,2015,Ford,Edge,Titanium,46723,FWD,20998
228,2015,Ford,Edge,SEL,42143,AWD,22890
229,2015,Ford,Edge,Titanium,Miles,AWD,
230,2015,Ford,Edge,SEL,63517,AWD,16894
231,2015,Ford,Edge,Titanium,44078,AWD,21995
232,2015,Ford,Edge,SEL,74095,AWD,16888
233,2015,Ford,Edge,SEL,42471,AWD,21300
234,2015,Ford,Edge,SEL,69088,AWD,18995
235,2015,Ford,Edge,Titanium,34093,FWD,20995
236,2015,Ford,Edge,SEL,58731,AWD,18950
237,2015,Ford,Edge,SEL,70457,AWD,18980
238,2015,Ford,Edge,SEL,69412,AWD,18995
239,2015,Ford,Edge,Titanium,62888,AWD,19996
240,2015,Ford,Edge,SE,76823,AWD,14894
241,2015,Ford,Edge,SEL,38801,FWD,17998
242,2015,Ford,Edge,Titanium,95893,AWD,19900
243,2015,Ford,Edge,Titanium,50700,AWD,20995
244,2015,Ford,Edge,SEL,47158,AWD,20568
245,2015,Ford,Edge,Titanium,82600,AWD,20015
246,2015,Ford,Edge,Titanium,61319,FWD,19988
247,2015,Ford,Edge,Titanium,79438,FWD,18900
248,2015,Ford,Edge,SE,73079,FWD,13999
249,2015,Ford,Edge,SE,100672,AWD,13983
250,2015,Ford,Edge,SEL,43100,AWD,21790
251,2015,Ford,Edge,SEL,102822,AWD,17000
