,0,1,2,3,4,5,6,7
110,2014,Ford,Edge,SE,AWD,52079,N/A,
111,2015,Ford,Edge,SEL,AWD,45295,N/A,
112,2015,Ford,Edge,SEL,FWD,64245,N/A,
113,2012,Ford,Edge,Limited,FWD,50014,N/A,
114,2016,Ford,Edge,Titanium,AWD,55767,N/A,
115,2013,Ford,Edge,SE,FWD,44165,N/A,
116,2016,Ford,Edge,SEL,AWD,66171,N/A,
117,2015,Ford,Edge,Titanium,FWD,47903,N/A,
118,2015,Ford,Edge,Sport,FWD,56332,N/A,
119,2016,Ford,Edge,Titanium,AWD,68089,N/A,
120,2014,Ford,Edge,Sport,AWD,53602,N/A,
121,2016,Ford,Edge,SEL,FWD,62499,N/A,
122,2013,Ford,Edge,SEL,FWD,47144,N/A,
123,2016,Ford,Edge,SE,AWD,70173,N/A,
124,2016,Ford,Edge,SEL,AWD,68526,N/A,
125,2015,Ford,Edge,Titanium,FWD,71152,N/A,
126,2011,Ford,Edge,SEL,FWD,44104,N/A,
127,2013,Ford,Edge,Limited,AWD,60627,N/A,
128,2014,Ford,Edge,SE,FWD,68565,N/A,
129,2015,Ford,Edge,SEL,FWD,67995,N/A,
130,2015,Ford,Edge,SEL,AWD,75485,N/A,
131,2013,Ford,Edge,Limited,AWD,63486,N/A,
132,2016,Ford,Edge,SEL,AWD,80237,N/A,
133,2017,Ford,Edge,SE,FWD,41333,N/A,
134,2016,Ford,Edge,SEL,AWD,32240,N/A,
135,2016,Ford,Edge,Titanium,FWD,37524,N/A,
136,2016,Ford,Edge,SEL,AWD,40090,N/A,
137,2015,Ford,Edge,Titanium,AWD,36970,N/A,
138,2016,Ford,Edge,SEL,FWD,45989,N/A,
139,2015,Ford,Edge,SEL,AWD,37802,N/A,
140,2015,Ford,Edge,Titanium,AWD,35786,N/A,
141,2016,Ford,Edge,SEL,AWD,42355,N/A,
142,2015,Ford,Edge,Titanium,FWD,38827,N/A,
143,2016,Ford,Edge,SEL,FWD,42953,N/A,
144,2016,Ford,Edge,Titanium,FWD,33559,N/A,
145,2017,Ford,Edge,Titanium,FWD,52086,N/A,
146,2016,Ford,Edge,SEL,AWD,51527,N/A,
