2017,Ford,Escape,Titanium,FWD,52418,19898
2014,Ford,Escape,SE,FWD,84041,12991
2016,Ford,Escape,SE,FWD,21550,18950
2018,Ford,Escape,SE,4WD,46104,17999
2010,Ford,Escape,XLT,FWD,145536,6495
2017,Ford,Escape,SE,FWD,48671,16687
2018,Ford,Escape,SE,FWD,33379,19479
2016,Ford,Escape,Titanium,4WD,40271,20532
2018,Ford,Escape,SE,FWD,28208,19097
2018,Ford,Escape,SE,FWD,22569,19780
2017,Ford,Escape,Titanium,FWD,40792,20745
2017,Ford,Escape,SE,FWD,32074,18581
2014,Ford,Escape,SE,FWD,65106,13995
2018,Ford,Escape,Titanium,FWD,30596,22587
2017,Ford,Escape,SE,4WD,61925,17000
2017,Ford,Escape,Titanium,4WD,15899,23900
2015,Ford,Escape,S,FWD,72501,13230
2011,Ford,Escape,XLT,4WD,160510,5995
2016,Ford,Escape,SE,4WD,20300,19148
2017,Ford,Escape,SE,FWD,63137,15497
2014,Ford,Escape,Titanium,4WD,64993,16079
2017,Ford,Escape,Titanium,4WD,25601,23224
2014,Ford,Escape,Titanium,4WD,69877,16495
2015,Ford,Escape,SE,FWD,49810,15995
2018,Ford,Escape,SE,4WD,27750,19972
2010,Ford,Escape,Limited,4WD,133032,7825
2015,Ford,Escape,SE,FWD,31635,17495
2015,Ford,Escape,SE,FWD,43661,17350
2018,Ford,Escape,SE,FWD,48128,17500
2016,Ford,Escape,SE,FWD,77853,14950
2011,Ford,Escape,Limited,4WD,124823,8890
2017,Ford,Escape,SE,FWD,20422,19779
2015,Ford,Escape,Titamium,4WD,96621,14534
2016,Ford,Escape,SE,FWD,35840,16990
2015,Ford,Escape,Titamium,4WD,70325,16288
2018,Ford,Escape,SE,4WD,34514,20210
2017,Ford,Escape,Titanium,4WD,45013,21000
2018,Ford,Escape,SE,4WD,15369,20927
2018,Ford,Escape,SE,4WD,23098,20000
2017,Ford,Escape,SE,FWD,33320,17900
2014,Ford,Escape,SE,4WD,125353,10988
2018,Ford,Escape,SE,4WD,29773,19835
2016,Ford,Escape,SE,FWD,23770,17995
2017,Ford,Escape,Titanium,4WD,45126,20999
2013,Ford,Escape,Titanium,4WD,103545,13487
2016,Ford,Escape,Titanium,4WD,29732,21591
2018,Ford,Escape,Titanium,FWD,24879,22395
2013,Ford,Escape,SEL,4WD,121424,10634
2018,Ford,Escape,SEL,4WD,1381,24995
2018,Ford,Escape,SE,FWD,5238,21995
2016,Ford,Escape,SE,FWD,25226,19129
2018,Ford,Escape,SE,FWD,36161,19245
2013,Ford,Escape,SE,FWD,73370,12995
2017,Ford,Escape,SE,FWD,45091,18000
2016,Ford,Escape,Titanium,4WD,21544,21900
2014,Ford,Escape,Titanium,4WD,65519,15999
2017,Ford,Escape,Titanium,4WD,41178,20990
2011,Ford,Escape,XLS,FWD,77351,10000
2017,Ford,Escape,SE,FWD,44458,16999
2016,Ford,Escape,Titanium,4WD,31580,20999
2015,Ford,Escape,SE,4WD,114925,12488
2014,Ford,Escape,Titanium,FWD,101100,12977
2013,Ford,Escape,Titanium,4WD,81135,14250
2017,Ford,Escape,Titanium,4WD,26935,22995
2018,Ford,Escape,SE,4WD,30518,20000
2016,Ford,Escape,Titanium,4WD,38793,19987
2018,Ford,Escape,SE,FWD,31403,19362
2018,Ford,Escape,SE,4WD,38917,18500
2018,Ford,Escape,SE,FWD,15633,20873
2017,Ford,Escape,Titanium,4WD,26291,22625
2016,Ford,Escape,SE,FWD,31482,17866
2013,Ford,Escape,SEL,4WD,137857,9235
2016,Ford,Escape,Titanium,4WD,39571,20197
2016,Ford,Escape,SE,FWD,16598,17991
2016,Ford,Escape,Titanium,4WD,22656,21228
2017,Ford,Escape,SE,FWD,24510,19995
2017,Ford,Escape,SE,FWD,31375,18873
2016,Ford,Escape,SE,4WD,14793,19525
2015,Ford,Escape,Titamium,4WD,100170,13799
2018,Ford,Escape,SE,4WD,23908,20220
2016,Ford,Escape,Titanium,4WD,64425,17487
2018,Ford,Escape,SE,FWD,22064,19997
2014,Ford,Escape,Titanium,FWD,97276,13079
2014,Ford,Escape,Titanium,4WD,89717,14673
2018,Ford,Escape,SE,FWD,29906,19995
2013,Ford,Escape,Titanium,FWD,95053,12795
2016,Ford,Escape,Titanium,4WD,35520,19888
2015,Ford,Escape,Titamium,4WD,36146,19975
2018,Ford,Escape,SE,FWD,36028,18500
2016,Ford,Escape,Titanium,4WD,40712,20400
2014,Ford,Escape,Titanium,4WD,64974,16750
2017,Ford,Escape,Titanium,FWD,14706,22700
2015,Ford,Escape,SE,4WD,136665,11780
2018,Ford,Escape,SE,FWD,41286,17877
2017,Ford,Escape,Titanium,4WD,31862,22795
2013,Ford,Escape,SEL,FWD,173559,7271
2018,Ford,Escape,SEL,4WD,4833,24261
2014,Ford,Escape,SE,FWD,29356,16500
2015,Ford,Escape,Titamium,4WD,74141,16713
2016,Ford,Escape,SE,4WD,30144,19499
2014,Ford,Escape,Titanium,FWD,112672,11995
2011,Ford,Escape,XLS,FWD,57571,11499
2018,Ford,Escape,SE,4WD,41431,18713
2017,Ford,Escape,SE,FWD,25702,19299
2013,Ford,Escape,Titanium,4WD,61523,15499
2017,Ford,Escape,Titanium,4WD,26643,22995
2017,Ford,Escape,SE,FWD,68335,15750
2016,Ford,Escape,SE,FWD,43220,16900
2014,Ford,Escape,Titanium,4WD,73368,15977
2014,Ford,Escape,Titanium,4WD,88710,13995
2016,Ford,Escape,Titanium,FWD,48191,18790
2017,Ford,Escape,Titanium,4WD,32436,23000
2016,Ford,Escape,Titanium,4WD,17458,22490
2018,Ford,Escape,SE,4WD,16539,20812
2016,Ford,Escape,Titanium,4WD,47566,18850
2016,Ford,Escape,SE,FWD,43348,16322
2017,Ford,Escape,SE,FWD,37078,17565
2017,Ford,Escape,SE,FWD,31029,18599
2017,Ford,Escape,Titanium,FWD,48150,19958
2018,Ford,Escape,SE,4WD,23319,19921
2014,Ford,Escape,SE,4WD,107180,12350
2011,Ford,Escape,XLT,FWD,135020,7900
2017,Ford,Escape,Titanium,FWD,50409,19898
2018,Ford,Escape,SE,FWD,15472,20788
2015,Ford,Escape,Titamium,4WD,31228,19895
2017,Ford,Escape,SE,FWD,30472,17999
2013,Ford,Escape,S,FWD,157282,7495
2017,Ford,Escape,Titanium,4WD,26667,22500
2018,Ford,Escape,SE,4WD,31777,20310
2017,Ford,Escape,SE,FWD,55387,16093
2017,Ford,Escape,SE,FWD,31730,17900
2018,Ford,Escape,SE,FWD,34617,18995
2018,Ford,Escape,SE,4WD,25513,19975
2017,Ford,Escape,SE,FWD,17584,19990
2018,Ford,Escape,SEL,FWD,19608,21800
2013,Ford,Escape,SEL,FWD,145566,8495
2015,Ford,Escape,Titamium,4WD,48346,18000
2011,Ford,Escape,Limited,FWD,134114,7995
2017,Ford,Escape,SE,FWD,11803,19590
2018,Ford,Escape,SE,4WD,20026,20000
2015,Ford,Escape,Titamium,4WD,34249,19984
2018,Ford,Escape,SE,4WD,26509,19599
2017,Ford,Escape,SE,FWD,24138,18777
2017,Ford,Escape,SE,FWD,24106,18590
2016,Ford,Escape,SE,FWD,32695,17703
2018,Ford,Escape,SE,4WD,43287,18791
2016,Ford,Escape,SE,FWD,45566,16899
2018,Ford,Escape,SE,FWD,36797,18988
2018,Ford,Escape,SE,FWD,26647,19299
2014,Ford,Escape,Titanium,FWD,81081,14495
2017,Ford,Escape,SE,FWD,28956,18988
2016,Ford,Escape,Titanium,4WD,50682,19800
2017,Ford,Escape,SE,FWD,38023,17974
2017,Ford,Escape,SE,FWD,47178,17624
2017,Ford,Escape,Titanium,FWD,36009,21225
2016,Ford,Escape,SE,FWD,31849,17979
2016,Ford,Escape,SE,FWD,46003,16995
2014,Ford,Escape,Titanium,4WD,50583,16995
